name,description,module,path,standalone
"brainstorm-project","Facilitate project brainstorming sessions by orchestrating the CIS brainstorming workflow with project-specific context and guidance.","bmm","bmad/bmm/workflows/1-analysis/brainstorm-project/workflow.yaml","false"
"document-project","Analyzes and documents brownfield projects by scanning codebase, architecture, and patterns to create comprehensive reference documentation for AI-assisted development","bmm","bmad/bmm/workflows/1-analysis/document-project/workflow.yaml","false"
"game-brief","Interactive game brief creation workflow that guides users through defining their game vision with multiple input sources and conversational collaboration","bmm","bmad/bmm/workflows/1-analysis/game-brief/workflow.yaml","false"
"product-brief","Interactive product brief creation workflow that guides users through defining their product vision with multiple input sources and conversational collaboration","bmm","bmad/bmm/workflows/1-analysis/product-brief/workflow.yaml","false"
"research","Adaptive research workflow supporting multiple research types: market research, deep research prompt generation, technical/architecture evaluation, competitive intelligence, user research, and domain analysis","bmm","bmad/bmm/workflows/1-analysis/research/workflow.yaml","false"
"workflow-status","Universal entry point for BMM workflows. Checks for existing workflow status, displays current state, suggests next actions, or helps plan new workflow. Can be invoked by any agent (bmad-master, analyst, pm) to understand where the project is and what to do next.","bmm","bmad/bmm/workflows/1-analysis/workflow-status/workflow.yaml","false"
"gdd","Game Design Document workflow for all game project levels - from small prototypes to full AAA games. Generates comprehensive GDD with game mechanics, systems, progression, and implementation guidance.","bmm","bmad/bmm/workflows/2-plan/gdd/workflow.yaml","false"
"narrative","Narrative design workflow for story-driven games and applications. Creates comprehensive narrative documentation including story structure, character arcs, dialogue systems, and narrative implementation guidance.","bmm","bmad/bmm/workflows/2-plan/narrative/workflow.yaml","false"
"prd","Scale-adaptive PRD workflow for project levels 1-4. Level 1-2: focused PRD + solutioning handoff. Level 3-4: full PRD with epics + architect handoff. Automatically adjusts scope based on project complexity.","bmm","bmad/bmm/workflows/2-plan/prd/workflow.yaml","false"
"tech-spec-sm","Technical specification workflow for Level 0 projects (single atomic changes). Creates focused tech spec for bug fixes, single endpoint additions, or small isolated changes. Tech-spec only - no PRD needed.","bmm","bmad/bmm/workflows/2-plan/tech-spec/workflow.yaml","false"
"ux-spec","UX/UI specification workflow for defining user experience and interface design. Creates comprehensive UX documentation including wireframes, user flows, component specifications, and design system guidelines.","bmm","bmad/bmm/workflows/2-plan/ux/workflow.yaml","false"
"plan-project","Scale-adaptive project planning workflow for all project levels (0-4). Automatically adjusts outputs based on project scope - from single atomic changes (Level 0: tech-spec only) to enterprise platforms (Level 4: full PRD + epics). Level 2-4 route to 3-solutioning workflow for architecture and tech specs. Generates appropriate planning artifacts for each level.","bmm","bmad/bmm/workflows/2-plan/workflow.yaml","false"
"tech-spec","Generate a comprehensive Technical Specification from PRD and Architecture with acceptance criteria and traceability mapping","bmm","bmad/bmm/workflows/3-solutioning/tech-spec/workflow.yaml","false"
"solution-architecture","Scale-adaptive solution architecture generation with dynamic template sections. Replaces legacy HLA workflow with modern BMAD Core compliance.","bmm","bmad/bmm/workflows/3-solutioning/workflow.yaml","false"
"correct-course","Navigate significant changes during sprint execution by analyzing impact, proposing solutions, and routing for implementation","bmm","bmad/bmm/workflows/4-implementation/correct-course/workflow.yaml","false"
"create-story","Create the next user story markdown from epics/PRD and architecture, using a standard template and saving to the stories folder","bmm","bmad/bmm/workflows/4-implementation/create-story/workflow.yaml","false"
"dev-story","Execute a story by implementing tasks/subtasks, writing tests, validating, and updating the story file per acceptance criteria","bmm","bmad/bmm/workflows/4-implementation/dev-story/workflow.yaml","false"
"retrospective","Run after epic completion to review overall success, extract lessons learned, and explore if new information emerged that might impact the next epic","bmm","bmad/bmm/workflows/4-implementation/retrospective/workflow.yaml","false"
"review-story","Perform a Senior Developer Review on a completed story flagged Ready for Review, leveraging story-context, epic tech-spec, repo docs, MCP servers for latest best-practices, and web search as fallback. Appends structured review notes to the story.","bmm","bmad/bmm/workflows/4-implementation/review-story/workflow.yaml","false"
"story-approved","Marks a story as done (DoD complete) and moves it from IN PROGRESS → DONE in the status file. Advances the story queue. Simple status-update workflow with no searching required.","bmm","bmad/bmm/workflows/4-implementation/story-approved/workflow.yaml","false"
"story-context","Assemble a dynamic Story Context XML by pulling latest documentation and existing code/library artifacts relevant to a drafted story","bmm","bmad/bmm/workflows/4-implementation/story-context/workflow.yaml","false"
"story-ready","Marks a drafted story as ready for development and moves it from TODO → IN PROGRESS in the status file. Simple status-update workflow with no searching required.","bmm","bmad/bmm/workflows/4-implementation/story-ready/workflow.yaml","false"
"testarch-atdd","Generate failing acceptance tests before implementation.","bmm","bmad/bmm/workflows/testarch/atdd/workflow.yaml","false"
"testarch-automate","Expand automation coverage after implementation.","bmm","bmad/bmm/workflows/testarch/automate/workflow.yaml","false"
"testarch-ci","Scaffold or update the CI/CD quality pipeline.","bmm","bmad/bmm/workflows/testarch/ci/workflow.yaml","false"
"testarch-framework","Initialize or refresh the test framework harness.","bmm","bmad/bmm/workflows/testarch/framework/workflow.yaml","false"
"testarch-gate","Record the quality gate decision for the story.","bmm","bmad/bmm/workflows/testarch/gate/workflow.yaml","false"
"testarch-nfr","Assess non-functional requirements before release.","bmm","bmad/bmm/workflows/testarch/nfr-assess/workflow.yaml","false"
"testarch-plan","Plan risk mitigation and test coverage before development.","bmm","bmad/bmm/workflows/testarch/test-design/workflow.yaml","false"
"testarch-trace","Trace requirements to implemented automated tests.","bmm","bmad/bmm/workflows/testarch/trace/workflow.yaml","false"
"design-thinking","Guide human-centered design processes using empathy-driven methodologies. This workflow walks through the design thinking phases - Empathize, Define, Ideate, Prototype, and Test - to create solutions deeply rooted in user needs.","cis","bmad/cis/workflows/design-thinking/workflow.yaml","false"
"innovation-strategy","Identify disruption opportunities and architect business model innovation. This workflow guides strategic analysis of markets, competitive dynamics, and business model innovation to uncover sustainable competitive advantages and breakthrough opportunities.","cis","bmad/cis/workflows/innovation-strategy/workflow.yaml","false"
"problem-solving","Apply systematic problem-solving methodologies to crack complex challenges. This workflow guides through problem diagnosis, root cause analysis, creative solution generation, evaluation, and implementation planning using proven frameworks.","cis","bmad/cis/workflows/problem-solving/workflow.yaml","false"
"storytelling","Craft compelling narratives using proven story frameworks and techniques. This workflow guides users through structured narrative development, applying appropriate story frameworks to create emotionally resonant and engaging stories for any purpose.","cis","bmad/cis/workflows/storytelling/workflow.yaml","false"
"install-notion-sync","Configure Notion integration and project settings","notion-sync","bmad/notion-sync/workflows/install-notion-sync/workflow.yaml","true"
"test-connection","Verify Notion API authentication, database access, and configuration","notion-sync","bmad/notion-sync/workflows/test-connection/workflow.yaml","true"
"update-status","Sync story status to Notion database with changelog tracking","notion-sync","bmad/notion-sync/workflows/update-status/workflow.yaml","true"
"design-transformation","Enterprise-grade design system implementation with visual feedback loops. Transforms existing designs to match reference quality (Apple, IBM, Linear, Notion-level) through iterative refinement.","vde","bmad/vde/workflows/design-transformation/workflow.yaml","false"
